文本,分类,情感,编号
客服不回我,售后,negative,2060
李佳琦买个衣服被衣服上的香片种草了特别清新好闻的味道，问客服说后续会上，李老头能不能跟踪安排一下,售后,positive,2061
超方瓶粉底液的泵头双十一买了用了没几次呢就漏液了！,化妆品质量,negative,2062
旗舰店的客服不会解决问题就知道说向上反馈并通知你自己掏钱再买个泵头,售后,negative,2063
李佳琦elof质量和客服是不是有点太离谱了？,售后,negative,2064
客服也绝了，直接关闭对话淘宝多年，遇到过态度差的，从未见过如此离谱的,售后,negative,2065
李佳琦直播间年前买了个泡面碗，经历了三次补发到现在都没到我手里。,物流,negative,2066
李佳琦直播间拍的SKG，但客服谎称收货地疫情管控拒不发货，事实并非如此，所有快递都正常接收。,客服,negative,2067
李佳琦请问大家，双十一在直播间买的添可洗地机总共没用几次今天就彻底坏了。,电器质量,negative,2068
这个怎么售后？,售后,negative,2069
没找到直播间的客服啊。,售后,negative,2070
李佳琦李佳琦客服怎么找？,客服,negative,2071
因为小奈包没有店铺客服，我还找了李佳琦的客服，一次是让他们帮忙催物流送货，客服态度挺好。,客服,positive,2072
李佳琦这家确定不是骗子吗，8天了还异常，客服也不回，可以直接退款吗,退款,negative,2073
李佳琦客服怎么还没上班,客服,negative,2074
李佳琦有没有姐妹买鲜一把萝卜脆收到货后漏了的，我找他家客服但是客服不理人，根本解决不了问题,售后,negative,2075
吐司很好吃，奶香味十足，口感很好，每个都很瓷实，很禁饿，不像其他品牌的吐司那样松软，每天早上搭配牛奶绝绝子。,食品质量,positive,2076
佳琦这个活动的售后服务很赞，以为疫情本来发了货又自动退回了，,售后,positive,2077
联系客服后马上重新发了顺丰，很快就收到了。,物流,positive,2078
发货已经超时了，客服态度也不好,发货,negative,2079
李佳琦宝子们，快递好几天一直待在一个地方不动，我应该找快递客服还是找商家处理啊,物流,negative,2080
李佳琦就28要发的到现在都没发货催了客服也没反应,发货,negative,2081
李佳琦我买的虎头局的蛋卷拆开发现碎了，我去找客服，他就理赔十元，但是大约碎了十一个,客服,negative,2082
快递卡在淄博，一动不动，客服催了两次了，也没啥用,物流,negative,2083
李佳琦不容易终于发货了，都跨了个年。,发货,negative,2084
买了belif的的姐妹们记得看下状态，还没发货的记得询问下客服,发货,negative,2085
今晚李佳琦直播间的那个苏泊尔有钛铁锅别买，巨粘锅用了一次发现粘锅，问客服能不能退，客服说我开锅开的有问题，不给退巨粘锅！,售后,negative,2086
问客服只有一个机器人，也不说啥理由，就是不发,客服,negative,2087
李佳琦要吐槽荷仙藕盒的物流。已经迫不及待要给物流差评了。,物流,negative,2088
收到的中午立刻放进空气炸锅了，很好吃都是值得的,食品质量,positive,2089
第一次遇到冷冻食品不发顺丰的商家，竟然还能有这么小气的大部分快递都是放到驿站的，d速现在竟然也放驿站,物流,negative,2090
李佳琦薇诺娜可太下头了，积分要搞过期，积分还只能换东西，给兑换的那都是啥啊，没有好东西。,积分兑换,negative,2091
问客服说是没货，我真的无语卖货也没看见你不卖哪个地区啊。,客服,negative,2092
Gery芝莉旗舰店蓝色包装差到我以为有人拆过，问客服随手拍客服说上面就是有胶带？,包装,negative,2093
李佳琦姐妹们，前两天直播间买的满小饱拌面大家都发货了吗？,发货,negative,2094
我的一直不发货，一问客服就一直打太极，根本不说清楚真实原因。。。,发货,negative,2095
李佳琦姐妹们，我双十一在直播间买的东西还没有发货。,发货,negative,2096
今天看直播时，听到佳琦说让联系一号客服处理，但是客服一直在推诿扯皮，连具体是哪个订单都不了解。,售后,negative,2097
"李佳琦户外出行,就穿骆驼冲锋衣质量真的不行，客服跟智障一样，我要不喜欢我会买两件？",服饰类质量,negative,2098
李佳琦姐妹们，你们在直播间买的onlineeyes毛衣发货了吗，我真是服了客服干脆不回消息,发货,negative,2099
李佳琦只有我的百果园买了没人送么？,物流,negative,2100
然后饿了平台还显示已送达，打电话打不通，联系平台客服显示忙，太恶心人啦！,售后,negative,2101
因为是邮到国外的，产品寄回很贵，运费要五百多，客服只给22块钱东西真的垃圾，收到就是坏的，客服的态度更差劲，只会复读机产品质量问题是需要我来承担责任？,售后,negative,2102
双十一李佳琦直播间抢的skii结果收到漏了一瓶skii的客服真的漏了一瓶非要补发小样给我，十来天了解决不了这个问题，非要小小二介入还不肯退款！,退款,negative,2103
李佳琦四季沐歌的客服真不行，问了一晚上一句话都没回复，全是机器人,售后,negative,2104
李佳琦乐纯我服了，十天了都还没发货，而且过了指定发货时间了。,发货,negative,2105
问客服，客服只会说在催了在催了,售后,negative,2106
李佳琦之前在直播间买的if椰子水24瓶就收到一箱12瓶，找客服还不理我,售后,negative,2107
买了十几年了，最差的服务没有之一！,售后,negative,2108
而且是每个客服服务都差，最后没收钱之前伸手要钱的事儿就可以当不存在？,售后,negative,2109
李佳琦KILLWINNER这家店，我发现换货单号与快递公司可能不一致上线询问，客服自己搞错三次，理直气壮还嫌我烦。,客服,negative,2110
李佳琦最近佳琦直播间买的东西真的是糟心,选品,negative,2111
李佳琦直播间的客服售后处理要比淘宝官方投诉给力多了,售后,positive,2112
这边建议李佳琦不要很全友家居在合作了，客服真的能把人气死,售后,negative,2113
小米旗舰店的淘宝售后我真的是无语，真要气炸了。。。。,售后,negative,2114
说好的佳琦直播间赠品磨磨唧唧俩月没发货，催过多少回了啊？,发货,negative,2115
发的晚就算了，现在跟我说没有备注不打算给发了？？？,发货,negative,2116
客服磨磨唧唧，好多天去找过每次都是1号转2号，2号转3号，等个客服回答跟等大爷一样，消费者的时间不是时间？,售后,negative,2117
双十一在李佳琦直播李佳琦李佳琦直播间买了我的天呐土豆粉，我的天呐里面有苍蝇酸辣土豆粉,食品质量,negative,2118
并且翻看评论区不止我一人吃到过，黑猫投诉黑猫投诉里也有好几起投诉有异物，而客服却以无菌环境生产为由拒绝负责。,食品质量,negative,2119
我的到今天双12了都还不发货，问客服也给不出理由，我这也没有物流管控，就真的离谱,发货,negative,2120
李佳琦olay家的客服售后真的太差了,售后,negative,2121
李佳琦好家伙，上个月11号兑换了个奶枣，这个月11号都到了，还没发货，竟然还收货了，这也太绝了吧。,发货,negative,2122
找客服，也是真难找啊，说是回复回复，再找在问依旧是看看，回复。,售后,negative,2123
兑换的慢，买的也慢，双十一的时候，买了一份，2号付款，17号发货，也是没谁了。,发货,negative,2124
李佳琦双十一下单的圣农炸鸡不给发货，客服不理人，不理人，现在又上直播间了，心理不平衡,发货,negative,2125
李佳琦避雷有零有食家的冻干草莓干很难吃一小包8块多也不便宜，客服经常找不到反正我再也不回购了,食品质量,negative,2126
说送的吹风机和猫超卡我一个都没收到，问客服就一直说请耐心等待，这都确认收货一个月了,物流,negative,2127
产品设计使用体验一塌糊涂，还拒绝退货！,退货,negative,2128
李佳琦双十一直播间附赠大礼包迟迟不发货，问客服，客服每一句都没有处理问题的意思。,售后,negative,2129
添可真的太烂了，这么烂是怎么过李佳琦直播选品的呢？,选品,negative,2130
头一次找客服，就是这样子，说好的直播售后好呢果然不能尽信哦,售后,negative,2131
找佳琦售后也只是催品牌那神一样的客服，1号链接客服也是好像没啥用的样子1号客服现在还在跟我扯上次换货运费的问题诶，地址又没变，运费肯定一样的呀，还非得让人翻沉入海底的记录。,售后,negative,2132
双十一期间在佳琦啵啵间买的石头扫地机器人，赠品是不发货吗？,发货,negative,2133
距离签收二十多天了，每次客服都说催仓库发货了，催都催了五六次了石头扫地机器人双十一发货,发货,negative,2134
李佳琦姐妹们我想问下，雅诗兰黛的白金眼霜有一股汽油味（还类似有劣质塑料制品的味道）,护肤品质量,negative,2135
双十一在李佳琦直播间买的薇诺娜到现在都没发货，客服也是机器人，气死我啦李佳琦薇诺娜,发货,negative,2136
李佳琦直播间买的新疆炒米粉，阿宽客服不给解决,客服,negative,2137
李佳琦爱丽思售后特别差劲，客服基本不在，好几次都是通过88vip客服联系到的，,售后,negative,2138
换个手机登录都不能用，客服扯了一个多星期也解决不了！,售后,negative,2139
李佳琦直播千万别买这个破壁机质量超级烂，用了一次就没反应了，还换了一次货。,电器质量,negative,2140
找李佳琦佳琦那边的售后协商了一个星期到现在都没给我我想要的解决方案！,售后,negative,2141
有点失望了姐妹们避雷，牌子真的垃圾，品牌的客服也垃圾，说我手指有问题,售后,negative,2142
李佳琦双11买的良吉时光落地灯，真的恶心到我，安装困难，客服态度更差,客服,negative,2143
李佳琦Sisley是什么笑话，简直店大欺客，第一次发的小样一副被人用过的样子，换货后收到的更离谱，直接轻飘飘，重量完全不对。,护肤品质量,negative,2144
以后李佳琦推的护肤品，啥新品我也不敢用了。,主播信任度,negative,2145
用了欧莱雅注白瓶以后过敏的地方还在脱皮，发际线也是痒发红，给售后反映也是没有下文，和李佳奇直播间的客服反应说只能找欧莱雅。,售后,negative,2146
双十一的磨砂膏到现在还没有收到。,物流,negative,2147
客服也像个死人。好气好气,售后,negative,2148
今天是李佳琦女孩儿宝拉的客服好爽快我好爱！,客服,positive,2149
客服直接问我垫付了多少运费，支付宝打给我，真的，现在能这么简单解决问题的卖家太少了,客服,positive,2150
李佳琦双十一买的五色糙米，到现在一直没发货，其他快递早收到了。,发货,negative,2151
问客服就是在陆续发出，会尽快发，投诉到官方客服，也不解决问题,售后,negative,2152
遇到纠纷找天猫客服，说24小时给回复，有哪位姐妹试过真的24小时能给回复的么？我这72小时了都没有回复。,客服,negative,2153
李佳琦姐妹们，直播间双十一买的破壁机坏了怎么办啊，插上指示灯不亮，找客服客服不理人，这才几天啊,售后,negative,2154
李佳琦现在的客服回答问题怎么比数学题还绕，本来就是问的小桔灯，她知道她自己在说什么吗,客服,negative,2155
李佳琦姐妹们我想问问在直播间买的东西退换客服一直拖延不补发，怎么找佳琪介入处理啊，品牌收到我的退货是5号，过去了15天，一直不给我发！,退货,negative,2156
这个牌子的客服还没回我，但是不敢用了,售后,negative,2157
李佳琦前天在老李头直播间拍的JINS的眼镜今天到手里了，快递好评！！,物流,positive,2158
买之前找客服问克重，也说不清楚重量以后不会再买这个牌子了有点小难过下次尝试一下其他品牌的眼镜！,饰品质量,negative,2159
还是相信老李头的李佳琦李佳琦时尚助播团,主播信任度,positive,2160
10.31拍的粉底和定妆，11月1日4：00显示发货，但是到11.18仍然是未揽件的状态，本来想退款,退款,negative,2161
李佳琦olay大红瓶还没揽件要自动确认收货了怎么办？,物流,negative,2162
客服说自动确认不影响售后我收不到货怎么办啊？？？,售后,negative,2163
李佳琦这次双十一买的elta洗面奶有一股臭味，大家有遇到吗？,洗护类质量,negative,2164
找客服，客服就说是正常的，不能退换。,售后,negative,2165
明明以前不是这个味道，怎么维权啊？,售后,negative,2166
玫珂菲赠品刷子被投诉掉毛褪色呵呵，都闹了多久了，客服不理也不解决，李佳琦的售后也用一样套话搪塞。,售后,negative,2167
玫珂菲赠品刷子被投诉掉毛褪色草了终于热搜了他家客服跟听不懂人话是的李佳琦和他们家沟通都没有用服了,客服,negative,2168
李佳琦能不能解决一下双十一直播间买的液体卫生巾都是21年十月生产的，宝洁客服也傲慢的要死。,售后,negative,2169
问过客服以后，说是给我安排补发，单号随后给我，结果一直没有给，直到11月14号才给了我一个从10月27号以后就没有更新物流的单号。,售后,negative,2170
今天再问又变成了要拦截召回，拦截成功再次补发永远在拦截，永远收不到。,物流,negative,2171
李佳琦我真的是服了相宜本草了10月12号抢跑的时候，我就买了红景天精华，结果，商家在没有与我沟通的情况下发起了撤单。,客服,negative,2172
李佳琦丝塔芙的客服真的垃圾,售后,negative,2173
这个客服是正规客服吗？,售后,negative,2174
李佳琦为啥我的377发了单号一直不动，客服先是说补发后面又说疫情发不了我的其他快递都陆续到了呀,发货,negative,2175
李佳琦就真想吐槽一下客服不是针对哪个品牌是针对所有品牌1.一问就是催了一问就是一问就是已登记2.,客服,negative,2176
李佳琦问问有无买了这个裤子的集美，觉得怎么样，昨天问的客服说无法给出发货时间在考虑要不要退了,发货,negative,2177
李佳琦有没有姐妹红景天还没发货的客服跟我说三天之后结果现在已经五天了现在告诉我不能保证时效好痛苦,发货,negative,2178
李佳琦珂拉琪你们家客服是懂顾客的,售后,positive,2179
李佳琦天猫的客服真的太差了！全都是不解决问题敷衍了事！,售后,negative,2180
九牧卫浴你们没有货的话就别参加双十一好吗就一个花洒现在拍的要十二月才发货？,发货,negative,2181
你上别人直播间卖的时候怎么不先说要一个月发货啊？,发货,negative,2182
每次客服要不不回信息要不就说已经催了还是不发货九牧Jomo九牧花洒节李佳琦直播,客服,negative,2183
李佳琦薇诺娜的冻干面膜就是和之前的不一样了！！,护肤品质量,negative,2184
说他好用，结果现在新的使用完我朋友们直接过敏了！！！,护肤品质量,negative,2185
现在退款还要扣我钱。,退款,negative,2186
而且客服态度特别差，没一句人话全是复制粘贴。,售后,negative,2187
买了冻颜密码椰子水，几乎所有瓶子全部变形了。而且不像是快递造成的变形！,饮品质量,negative,2188
联系了品牌方客服，这辈子没有这么无语过，冻颜密码一生黑！,售后,negative,2189
李佳琦去丸给大家避个雷，也建议李老头以后别再和他家合作了，售后真的很差劲11.,售后,negative,2190
收到杯子发现有掉漆，联系客服，客服说补发杯身。ok也行，但是等了好久也没发，要一遍一遍去问，问就是等3天。,售后,negative,2191
最后终于给了一个补发单号，居然是假的，到11号还查不到单号,售后,negative,2192
找淘宝客服介入，三天后商家回复说是快递的问题，说会核实，如果确实没发再给我补发，15仍旧没有核实结果，也没有补发。,售后,negative,2193
李佳琦气死了气死了，薇诺娜到现在都没发货，客服都是机器人只会自动回复。,发货,negative,2194
每次取顺丰快递都能看到小哥车上好多薇诺娜的盒子，快递都通了半个月了肯定不是积压件，客服只会说疫情管控,物流,negative,2195
我一直到现在都是已发货未揽收，说是收货地疫情原因，ems和顺丰都发不出来。,物流,negative,2196
我今天不信邪又下了一单，结果秒顺丰发货，气死。,物流,negative,2197
客服一直敷衍了事，就说之前的发不了。,售后,negative,2198
李佳琦李佳琦添可不发配件和赠品，客服不理人，,客服,negative,2199
手机壳都收到了吗，我的物流巨慢，客服还半天才回人的那种,物流,negative,2200
怎么就我的一直物流卡着不动，问人工客服就好像机器人。。。,物流,negative,2201
李佳琦我想问问有没有人用完夸迪的蓝次抛脸红长痘痘的，是我用的不对嘛还是咋回事？客服说我是不耐受,护肤品质量,negative,2202
邮政官方投诉电话打了三个后说帮我登记查询，电话挂了就没有然后了。,物流,negative,2203
李佳琦买的东西丢件了，商家只会抱歉，打物流电话不接，88会员投诉两次客服也说帮我跟进，但是没有再找我,物流,negative,2204
再联系客服客服，客服又把话头撤回原点，几十块的东西在这虚与委蛇的扯皮，能发发，不发给句话。说了能发之后不发是什么意思。,发货,negative,2205
收货后联系了客服，客服查完订单后说补发48小时出单号，现在已经过去58小时了，什么也没有。,售后,negative,2206
李佳琦pso的客服为什么不理人啊天我等了一个小时还没回复,售后,negative,2207
第二口吃出塑料非常生气入口的东西怎么品控这么差这要是小孩子吃估计直接吞了姐妹们如果买了的，吃的时候一定要小心！！！,食品质量,negative,2208
说实话，第一次买优色林修护霜真的挺败好感的。,护肤品质量,negative,2209
找客服，死鸭子嘴硬，官方术语一堆，甚至不告诉你瓶子容量，只是说量是够的,售后,negative,2210
薇诺娜冻干面膜被指引起过敏李佳琦所以薇诺娜有没有人管管啊？,护肤品质量,negative,2211
新版面膜这么烂客服也跟傻子一样，服了，直接粉转黑，给我去你的吧,售后,negative,2212
店铺客服也不回复，一直都是自动回复。,售后,negative,2213
李佳琦姐妹们在佳琦直播间给妈妈买的欧珀莱从三号就没物流了，专属客服投诉也只是小额赔款，不处理，我只想快点收到货。,物流,negative,2214
李佳琦李佳琦直播间客服在哪找啊,售后,negative,2215
找直播间售后客服每次都是机器人回复发链接让填售后表，半个月了，谁都没能解决我的问题，,售后,negative,2216
李佳琦买的百思图的鞋，平常穿35码，所以这次也买的35码的，结果到了发现居然不能穿小了，想换36的，客服说不给换。,售后,negative,2217
李佳琦3ce家是我遇到过的服务最差劲的客服！！无论是售前还是售后！！！,售后,negative,2218
李佳琦拆森海塞尔快递的时候盒子扔了，用了两天打电话发现耳机有电流，联系森海塞尔客服，客服就以盒子是配件为由不进行售后处理也是醉了。,售后,negative,2219
所以，我寻思不是发货发不了，就是在欺负消费者欺负老实人啊,主播支持度,negative,2220
李佳琦造孽啊，因为疫情逐本卸妆油被迫原路返回，PL气垫卡在路上一个星期了，,物流,negative,2221
说起包装就是塑料,包装,negative,2222
欧莱雅李佳琦直播在直播间买了欧莱雅的面膜和眼霜三号就说派送但是说口罩原因现在没派送，,物流,negative,2223
但问题是解封了都有四五天了还是一直不送，联系客服换了三四个不搭理我投诉也没有用请问大家可以有什么办法吗？,售后,negative,2224
李佳琦sinbos的售后客服真的很慢，回复慢且进度慢。,售后,negative,2225
劝大家再买他家衣服时候码数一定要填对，不然一旦进入换货环节你会气到吐血。,售后,negative,2226
李佳琦有没有姐妹买了悦木之源的东西漏发货的啊？,发货,negative,2227
我买的菌菇水少了两支100ml的，客服先是冷处理，说是去问仓库，结果4天没消息，,售后,negative,2228
如果不是点了退款都不知道什么时候有回音现在发了看不清单号的包装视频和查不到的箱号称重，一口咬定说他们没漏发我是能为了这200ml花一周时间骗你不成？,退款,negative,2229
李佳琦神操作，买了小熊电煮锅，有锅不给线连个人工客服都匹配不到，姐妹们避雷！,售后,negative,2230
看看夸迪的好客服，简直了，问问怎么使用，让我使出吃奶的力气，真是服气了,食品质量,negative,2231
李佳琦我真的对夸迪没脾气啦收到的悬油次抛精华液特别特别脏,护肤品质量,negative,2232
我去找客服说这垃圾堆出来的吧？客服说登记换货，我登记了，然后昨天就收到了顺丰寄来的新货。,售后,positive,2233
然而我因为上班今天才回家给夸迪寄回脏货，虽然客服回复很慢很慢，但是真的有解决问题（五天时间）是感谢的,售后,positive,2234
为啥李佳琦直播间团的口碑生活卷不支持兑换，亏我蹲直播了抢，不给我用，客服还一直不在线。,客服,negative,2235
到现在物流都停在3号公司已发出，天天问客服都没结果，让换个快递发也不理我,物流,negative,2236
就态度让我觉得不温不热的那种，真的这种感觉太下头,售后,negative,2237
李佳琦我真的会谢，说实在的今年入olay也是蛮多的，但前天拍下的面霜到了后拆快递只有小样，漏发了正装,发货,negative,2238
客服就让我拍照给他，说给我把这个问题反馈给仓库，我真的挺无语的,售后,negative,2239
漏发是他们自己的问题，店铺能不能考虑一下消费者的心情，能不能尽快去解决？,售后,negative,2240
喜临门床垫物流根本不给送，这还是投诉的结果，不投诉根本没消息，今天打电话问啥时候送，物流说不清楚，积压了许多床垫，根本送不了,物流,negative,2241
问客服，永远是抱歉抱歉解决不了问题，咱就是问，你们没本事，搞什么活动吹什么大牛。,售后,negative,2242
李佳琦李佳琦双十一的美的冰箱有人发货了吗，客服摆烂，配送要一个月，什么冰箱要一个月呀，怕是现做的,物流,negative,2243
李佳琦去丸咖啡杯的售后怎么这么差啊客服根本不理人啊,售后,negative,2244
李佳琦有没有用夸迪战痘次抛眼睛肿的姐妹我现在眼睛肿得像被蜜蜂蛰了一样夸迪客服还不回话我真的生气了,售后,negative,2245
李佳琦被理肤泉商家和快递气的心脏疼快递公司不知道为啥给我拒收了，但是快递显示已签收。,物流,negative,2246
和快递员，快递网点，快递公司都联系过了，说好了会联系商家赔付。,物流,negative,2247
理肤泉客服去和快递确认，快递又和他说已签收来来回回10天了都没解决。,物流,negative,2248
这辈子都不买理肤泉了，快递员618的时候也给我送丢了安肌心语的洗面奶，送到别的小区去了,物流,negative,2249
安肌心语客服超级好！,售后,positive,2250
物流量大分拣错误，但之前已经反馈过物流了，目前天猫客服也找了，物流也找了，没有人给我答复,客服,negative,2251
我这个快递是什么状态，一直推脱，想问一下怎么解决，尽快解决好吧。,物流,negative,2252
本来不想买面膜来着，但今天的客服，简直声控福利！,福利,negative,2253
无法拒绝一些好听的播音腔，加购去了,主播专业度,positive,2254
李佳琦服了优色林这客服好像听不懂人话我的到现在也没到真服气了,售后,negative,2255
客服也摆烂现在大件退货也退不了还得自己花大价钱运费。。。,退货,negative,2256
李佳琦姐妹们你们的酵色都到了嘛我从31好补完尾款过后他第3天发货然后停在发货,发货,negative,2257
李佳琦百思图一直不发货什么情况，问客服说是给催但也一直没信儿,客服,negative,2258
李佳琦薇诺娜的客服真的很垃圾啊，无语了，一直都在打马虎眼不处理事,客服,negative,2259
李佳琦之前还夸了一下cpb客服好呢搞啥子差点就0.01的赠品都不想认吗,客服,negative,2260
从朵梵客服一次次的机械回复我都快绝望了！,售后,negative,2261
你们朵梵客服能不能给我一个主动回复啊？,售后,positive,2262
你们朵梵售后真的太垃圾了！！,售后,negative,2263
客服一次次的怠慢真的让人更生气！,售后,negative,2264
从1号第一次反馈，然后3号说没有漏发，4号说加急提报总部，结果我7号再次联系才说昨天才提，至今从未一个主动回复，全靠我唱独角戏！,售后,negative,2265
我又找到他们的客服，当然给我的回复又是重复一样的半价换新和自己出钱维修，显然我两者都不想选，只能说自认倒霉，也懒得给自己添麻烦，就当买个教训了。,售后,negative,2266
说实话他家的价格并不比某些牌子便宜很多，姐妹们有条件还是冲那个尤其是经常使用的姐妹。,价格,negative,2267
希望佳琦越来越好,主播支持度,positive,2268
李佳琦买了华硕的宝子们发现是翻新机!无语死了激活了还能不能退客服不回消息,售后,negative,2269
李佳琦夸迪的客服啥消息都不回,售后,negative,2270
我选李佳琦的理由，上品速度快，不浪费时间买完就撤。,主播专业度,positive,2271
有人帮选好且实惠。,价格,positive,2272
客服很棒。,售后,positive,2273
产品收到的时候破的像垃圾，里面一点保护措施没做！,包装,negative,2274
一半以上的赠品都漏发！,发货,negative,2275
产品压损，产品包装都是灰可脏了谁敢用脸上啊！！,快递,negative,2276
客服不回复！,售后,negative,2277
售后投诉无门！,售后,negative,2278
我不管你的产品做的怎么样，但是就这服务我劝广场上的姐妹避而远之！,服务态度,negative,2279
李佳琦今天终于收到货啦也没有发错货嘛少用了直播间的优惠卷客服还退了180的差价开心开心,客服,positive,2280
金号浴巾那么差的品都能上直播间？,选品,negative,2281
你们连品试都不试的吗？,选品,negative,2282
他家客服还高贵得要死，别把佳琦直播间搞成给钱就能上的那种直播间可以吗？,售后,negative,2283
李佳琦，有人买的富勒烯精华底部有玻璃碴子一样的东西吗，我看客服说是植物沉淀，但我试过了，是锋利的碴子类的物质。,护肤品质量,negative,2284
客服一天不回消息，最差的一次购物体验！,售后,negative,2285
李佳琦在佳琦直播间买的穗康玉米是馊掉变质的，请问姐妹们维权要怎么找佳琦那边客服啊？,食品质量,negative,2286
李佳琦想问下大家，客服不回复咋办,售后,negative,2287
还有烧麦家，寄到的时候，有一包袋子破了，可能路上运输的时候撞裂开了或者什么的，烧卖露在外面，我联系客服，客服马上帮我处理了，整个沟通过程都特别愉快。,售后,positive,2288
网购这么多年了，遇到的绝大部分店家客服都是不错哒,售后,positive,2289
李佳琦买的绝世香肠，但是有事出门了，想试着问问客服是否可以晚几天寄出，抱着可以就可以，不可以就也别给人家添麻烦的心态，没想到客服很快同意了。,售后,positive,2290
李佳琦直播间买的喜确豆浆也太垃圾了吧这都快十天了还没到问了客服大大方方承认虚假发货了垃圾垃圾垃圾,发货,negative,2291
问的客服，晚上多喜爱联名款是这个，晚上蹲，姐妹们买起来，好便宜啊,价格,positive,2292
客服同意我退款，可是退款后我就不能评价了，好多人就看不到了你们要慎重啊，只能帮到这了！！！！,退款,negative,2293
李佳琦，花西子他们家的客服也太可爱了吧，点名表扬了,售后,positive,2294
买的蓝罐饼干全部碎成渣渣了，根本没办法吃，找淘宝客服也没人理。。,食品质量,negative,2295
李佳琦，lolarose的售后真的棒！,售后,positive,2296
慕金脱毛仪的客服服务也太差了，已读就是不人工回复（我已经先要人工客服了）。,售后,negative,2297
虽然很相信佳琦的选择，但是看到评论一堆说售后不管事，还是果断退了。,售后,negative,2298
也希望佳琦直播间在选品时也能考虑售后环节，商家会不会做到位,售后,negative,2299
李佳琦姐妹们想问一下你们买的冰泉的牙膏到了吗，我的快递客服说出现了问题,物流,negative,2300
怎么昨天佳琦在直播间没有说？问客服也没人回，有知道的姐妹吗？,售后,negative,2301
李佳琦，是我找错客服还是怎么？机器回复？一问三不知，要客服何用？,售后,negative,2302
李佳琦，姐妹们，你们的面包新语都发货了吗？今天已经第七天了，还没发货，我哭！,发货,negative,2303
我看评论好多人都已经收到了客服只是说催工厂，但也没啥动静啊,售后,negative,2304
李佳琦为什么我的葡萄冰都化成水了，而且客服还不理人,售后,negative,2305
李佳琦来啦来啦，第一次买花西子的产品，不愧是佳琦推荐的产品虽然有一点点小瑕疵不过客服的态度真的超级好,售后,positive,2306
那么问题来了，有人说我看他我就是忍不住要去买，这只能说明李佳琦专业过硬，有感染力。,主播专业度,positive,2307
再发一次钵钵鸡调料做的牛肉，因为实在是太好吃了颈椎仪不错。,食品质量,positive,2308
第一次吃的清凉补一点也不甜，非常符合我的口味，反正都满意，忍不住的要赞李佳琦,食品质量,positive,2309
李佳琦我的烤箱好久了都没到问客服客服还不理我。,售后,negative,2310
李佳琦的店太有病了，这个客服一直不承认自己的东西坏了是什么意思啊？？,售后,negative,2311
李佳琦佳琦的客服售后服务真的太棒了！,售后,positive,2312
放一张佳琦努力工作的图,主播品质,positive,2313
还有什么吃货节，真是好笑了。就这质量还敢拿出来卖？,食品质量,negative,2314
而且我联系客服还让我把熟了的米饭寄回去，请问寄回去给你当夜宵吃吗？,食品质量,negative,2315
6月3号在佳琦直播间抢的饭小宝的自热米饭，今天打开一个川味回锅肉的吃出来了一根橡皮筋，请问你的的食品质量安全怎么保证？,食品质量,negative,2316
我服了拖了我12天叫我和商家解决你们选品选出来的垃圾卖掉了就拍拍屁股拿钱走人？,选品,negative,2317
李佳琦我的天我用菌菇水湿敷一贴上立马刺痛的不行！！,护肤品质量,negative,2318
看来李佳琦团队还是比较爱惜自己羽毛的结论：在直播间买东西还是比较有保障的至少出问题会尽力解决还便宜但也只限于头部的一些直播间。,售后,positive,2319
李佳琦佛系等回复，店大客服就是厉害，理都不理我,售后,negative,2320
李佳琦怡丽丝尔没有赠品该找谁，客服不理人,售后,negative,2321
我的还没发货找客服也是各种找理由说618发货量大希望理解明明在页面上写了2天内发货,发货,negative,2322
客服回答，两个小时后没发又给我退了咋办,售后,negative,2323
李佳琦有人收到达美乐的电子券了嘛，去问客服一个小时了都没回,客服,negative,2324
李佳琦阿华田豆浆粉泡不开？？？？用温开水泡不开客服叫我用冷水冷水也泡不开喝了就拉肚子,饮品质量,negative,2325
我好像莫名其妙中奖了，客服说给我补一箱作为佳琦的粉丝福利,福利,positive,2326
李佳琪集美们在佳琦直播间买的防晒衣不合适想换成大的会给退差价吗客服不理人,售后,negative,2327
李佳琦Olay的客服真的是很差劲，我之前也咨询了好多次这个客服！！不理人！每次都！答非所问！,售后,negative,2328
李佳琦纪梵希100块抵用券的试用装收到啦！,折扣,positive,2329
李佳琦再也不会线上买优衣库了淘宝购物这么多年，从没见过这样的客服。,客服,negative,2330
本来高高兴兴蹲守直播间想买件衣服，结果被客服弄得现在心情极差，甚至委屈想哭再见，优衣库,客服,negative,2331
我去问了客服一直只读不回？？？,客服,negative,2332
求解答，客服不理睬我,客服,negative,2333
李佳琦泡菜太好吃啦哈哈，空口吃也不觉得咸或酸橘客肉松华夫，尝了一个松松软软的也可以给老人吃,食品质量,positive,2334
看超话的姐妹发的购物截图才想起来直播时错拍成一件，抱着试一试的心态问了客服，没想到客服说就是给我按三件发的，给客服一百个好评！,售后,positive,2335
花西子东方彩妆是在佳琦直播间买到的送了卸妆巾，这个眼影盘太艺术品啦！,化妆品质量,positive,2336
然后那个烤鱼片就真的太甜太腥不好吃。,食品质量,negative,2337
不过客服倒是挺好。,售后,positive,2338
看来下次去李佳琦直播间种草还是得慎重些，买了三款零食，虾条味道就挺普通吧，当然，也不能说难吃,食品质量,negative,2339
李佳琦用了玉泽面霜三天烂脸了。。。,护肤品质量,negative,2340
